000001.SZ,平安银行,
时间,卖1价,买1价
Time,ask1,bid1
2019-04-29 09:47:06,13.980,13.970
2019-04-29 09:47:09,14.000,13.990
2019-04-29 09:47:12,13.990,13.980
2019-04-29 09:47:15,13.990,13.980
2019-04-29 09:47:18,14.000,13.990
2019-04-29 09:47:21,13.990,13.980
2019-04-29 09:47:24,14.000,13.990
2019-04-29 09:47:27,14.000,13.990
2019-04-29 09:47:30,14.000,13.990
2019-04-29 09:47:33,14.000,13.990
2019-04-29 09:47:36,13.990,13.980
2019-04-29 09:47:39,14.000,13.990
2019-04-29 09:47:42,14.000,13.990
2019-04-29 09:47:45,14.000,13.990
2019-04-29 09:47:48,14.000,13.990
2019-04-29 09:47:51,14.000,13.990
2019-04-29 09:47:54,14.000,13.990
2019-04-29 09:47:57,14.000,13.990
2019-04-29 09:48:00,14.010,14.000
2019-04-29 09:48:03,14.000,13.990
2019-04-29 09:48:06,13.990,13.980
2019-04-29 09:48:09,14.000,13.980
2019-04-29 09:48:12,14.000,13.990
2019-04-29 09:48:15,14.000,13.990
2019-04-29 09:48:18,14.010,14.000
2019-04-29 09:48:21,14.000,13.990
2019-04-29 09:48:24,14.000,13.990
2019-04-29 09:48:27,14.000,13.990
2019-04-29 09:48:30,14.000,13.990
2019-04-29 09:48:33,14.000,13.980
2019-04-29 09:48:36,14.000,13.990
2019-04-29 09:48:39,13.990,13.980
2019-04-29 09:48:42,13.990,13.980
2019-04-29 09:48:45,13.990,13.980
2019-04-29 09:48:48,13.990,13.980
2019-04-29 09:48:51,13.990,13.980
2019-04-29 09:48:54,13.990,13.980
2019-04-29 09:48:57,13.990,13.980
2019-04-29 09:49:00,13.990,13.980
2019-04-29 09:49:03,13.990,13.980
2019-04-29 09:49:06,13.990,13.980
2019-04-29 09:49:09,13.980,13.970
2019-04-29 09:49:12,13.980,13.970
2019-04-29 09:49:15,13.980,13.970
2019-04-29 09:49:18,13.980,13.970
2019-04-29 09:49:21,13.980,13.970
2019-04-29 09:49:24,13.980,13.970
2019-04-29 09:49:27,13.980,13.970
2019-04-29 09:49:30,13.990,13.980
2019-04-29 09:49:33,13.990,13.980
2019-04-29 09:49:36,13.990,13.980
2019-04-29 09:49:39,13.990,13.980
2019-04-29 09:49:42,13.980,13.970
2019-04-29 09:49:45,13.980,13.970
